date,open,high,low,close,volume
2023-02-21,92.6641,92.7638,91.3888,91.4585,33751165
2023-02-22,91.3688,91.7773,90.2827,91.3189,30995974
2023-02-23,91.5879,91.6079,89.4358,90.5617,41355757
2023-02-24,89.117,89.5654,88.2552,88.808,36717717
2023-02-27,89.5454,89.8343,89.0123,89.5454,27602000
2023-02-28,89.0074,90.9004,88.9974,89.7348,30251306
2023-03-01,89.6549,90.7012,89.3461,90.0336,31224006
2023-03-02,89.3361,91.9417,89.2664,91.6676,32343052
2023-03-03,92.146,93.3914,92.116,93.3117,35287563
2023-03-06,93.6754,95.6234,93.6605,94.7864,32757633
2023-03-07,94.6369,95.3245,93.1922,93.521,27936382
2023-03-08,93.78,95.6084,93.6605,93.9096,34226892
2023-03-09,93.7103,95.1849,91.5681,91.9866,28917983
2023-03-10,91.837,92.4548,90.0685,90.3026,36071335
2023-03-13,89.7645,92.2357,89.097,90.781,37470918
2023-03-14,92.2257,94.0191,92.106,93.6306,36180899
2023-03-15,92.8832,96.5799,92.3054,95.7628,50805560
2023-03-16,95.8525,100.824,95.155,99.9574,65805345
2023-03-17,99.8975,102.464,99.7384,101.253,61249781
2023-03-20,99.7582,101.382,99.5093,100.854,33079924
2023-03-21,100.884,104.721,100.854,104.541,42262933
2023-03-22,103.893,106.205,102.957,102.996,43584847
2023-03-23,104.681,105.916,104.083,105.218,40945665
2023-03-24,104.611,105.109,103.465,105.059,30521286
2023-03-27,104.238,104.381,101.559,102.09,31233680
2023-03-28,102.07,102.08,99.3798,100.665,32174078
2023-03-29,101.911,102.12,100.287,101.024,28883900
2023-03-30,100.545,100.789,99.4196,100.525,33206123
2023-03-31,100.934,103.514,100.675,103.356,36997002
2023-04-03,102.02,104.153,101.562,103.983,25126154
2023-04-04,103.953,105.198,103.664,104.341,24508604
2023-04-05,105.398,105.717,103.286,104.093,28393058
2023-04-06,104.88,108.775,103.953,108.028,48888064
2023-04-10,106.593,107.202,104.74,106.055,27165476
2023-04-11,106.165,106.345,104.301,104.97,26407185
2023-04-12,106.195,106.365,103.963,104.262,24458618
2023-04-13,105.458,107.102,105.458,107.042,24933639
2023-04-14,106.504,108.547,106.455,108.477,26674349
2023-04-17,104.279,105.776,104.143,105.588,37707417
2023-04-18,106.105,106.155,103.694,104.123,26692859
2023-04-19,103.206,104.601,102.698,103.804,20981469
2023-04-20,103.534,105.866,103.493,104.91,27921647
2023-04-21,105.089,105.617,104.401,105.029,25893609
2023-04-24,105.109,106.245,104.321,105.588,23628174
2023-04-25,105.443,106.305,103.465,103.475,46833266
2023-04-26,104.541,105.966,102.259,103.336,53540950
2023-04-27,104.073,107.979,103.166,107.202,50270765
2023-04-28,106.653,106.962,104.711,106.952,36270857
2023-05-01,106.455,107.6,106.435,106.813,26778403
2023-05-02,106.753,106.813,103.336,104.94,31109613
2023-05-03,105.148,107.102,104.581,105.029,21874415
2023-05-04,105.104,105.218,103.594,104.311,23504404
2023-05-05,104.441,105.498,103.734,105.188,26735823
2023-05-08,104.8,107.57,104.78,107.38,26607551
2023-05-09,107.999,109.752,106.803,106.962,36491950
2023-05-10,107.58,112.533,107.54,111.346,63382304
2023-05-11,114.978,117.494,113.997,116.149,79186049
2023-05-12,116.259,117.604,115.69,117.085,41251330
2023-05-15,115.69,118.052,115.591,116.089,36398235
2023-05-16,116.069,120.314,116.01,119.079,45198816
2023-05-17,119.178,121.231,118.461,120.403,33444389
2023-05-18,120.513,122.865,120.393,122.386,35361960
2023-05-19,123.103,125.515,121.709,122.317,41503355
2023-05-22,122.496,125.974,122.297,124.598,35380829
2023-05-23,123.712,124.175,121.768,122.117,34169672
2023-05-24,120.683,121.47,119.427,120.463,34306550
2023-05-25,124.07,124.867,121.52,123.034,42470389
2023-05-26,122.725,124.807,122.008,124.16,35765120
2023-05-30,125.187,125.207,121.56,123.223,35203814
2023-05-31,122.307,123.612,122.058,122.426,37461096
2023-06-01,122.371,123.97,122.177,123.273,30884237
2023-06-02,123.542,125.694,123.313,124.22,27077952
2023-06-05,123.562,126.969,123.393,125.555,32422641
2023-06-06,125.555,127.827,124.907,126.85,26734861
2023-06-07,126.511,128.574,121.679,122.058,52729445
2023-06-08,121.783,122.78,120.803,121.699,29495705
2023-06-09,121.808,123.308,121.47,121.788,23864517
2023-06-12,122.341,123.602,121.221,123.193,28441473
2023-06-13,124.529,124.708,122.735,123.383,22359074
2023-06-14,122.655,123.602,121.011,123.223,30703197
2023-06-15,122.695,125.007,121.958,124.638,35374039
2023-06-16,125.475,125.652,122.835,123.083,45700623
2023-06-20,122.486,124.12,121.699,122.655,26192098
2023-06-21,121.958,122.217,119.666,120.114,30416199
2023-06-22,119.566,122.795,118.401,122.705,27049950
2023-06-23,120.941,122.344,120.623,121.898,35040202
2023-06-26,120.783,121.56,117.837,117.912,34093041
2023-06-27,116.657,118.649,115.68,117.902,39679257
2023-06-28,116.667,119.956,116.428,119.746,27189658
2023-06-29,118.809,119.626,117.867,118.669,24178233
2023-06-30,119.736,120.643,119.258,119.268,29639298
2023-07-03,118.809,119.756,118.389,119.467,14520297
2023-07-05,118.809,122.167,118.799,121.31,27684806
2023-07-06,119.362,119.866,117.972,119.676,24868626
2023-07-07,119.666,120.613,118.969,119.049,21788248
2023-07-10,117.872,117.877,115.715,116.03,35443256
2023-07-11,115.87,117.285,114.933,116.717,23162444
2023-07-12,118.371,119.896,117.987,118.501,30514628
2023-07-13,120.493,124.379,120.015,124.09,44458499
2023-07-14,124.349,126.317,123.044,124.967,33403730
2023-07-17,125.485,126.641,123.747,124.2,25809438
2023-07-18,124.15,124.23,122.516,123.313,26321520
2023-07-19,124.15,124.727,121.36,121.589,37358973
2023-07-20,120.981,123.642,117.793,118.769,38044178
2023-07-21,120.184,120.553,118.301,119.586,71866054
2023-07-24,121.221,122.556,120.543,121.091,29831418
2023-07-25,120.921,122.7,120.583,121.768,52699903
2023-07-26,129.6,130.507,127.856,128.803,61905696
2023-07-27,131.195,132.759,128.325,128.933,45115029
2023-07-28,130.308,133.257,130.098,132.102,36723804
2023-07-31,132.25,133.043,131.3,132.24,28157235
2023-08-01,130.303,132.151,130.208,131.075,23360819
2023-08-02,128.983,129.62,127.099,127.916,26368501
2023-08-03,127.508,128.918,126.959,127.986,20232608
2023-08-04,128.813,131.035,127.448,127.647,26241944
2023-08-07,128.694,131.135,128.554,131.055,22828747
2023-08-08,130.148,131.035,129.077,130.925,23620498
2023-08-09,131.185,131.563,128.534,129.191,25003229
2023-08-10,130.845,131.573,128.983,129.221,20933365
2023-08-11,128.196,129.461,127.707,129.092,19662099
2023-08-14,128.923,130.895,128.494,130.855,24785132
2023-08-15,130.626,130.945,128.813,129.311,19842402
2023-08-16,128.235,129.811,127.403,128.235,25307478
2023-08-17,129.331,131.513,128.823,129.451,33567526
